Barkod;"Eser Adı / Kitap Adı";Yazar;"Yer Numarası (Sırt No)";ISBN/ISSN;"Raf Konumu";"Ana Kütüphane";"Raf Kontrol Notu";"Materyal Türü"
111000000213;"Kırılma noktası";"Box, C. J.";"828.3354 BOX 2014";9786058658172;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000214;"Anne Baba Dükkanı";"Simon, Francesca";"828.3354 SİM 2012";9789750510106;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000215;"Anne Baba Dükkanı";"Simon, Francesca";"828.3354 SİM 2012";9789750510106;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000216;"Anne Baba Dükkanı";"Simon, Francesca";"828.3354 SİM 2012";9789750510106;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000217;"Anne Baba Dükkanı";"Simon, Francesca";"828.3354 SİM 2012";9789750510106;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000218;"Anne Baba Dükkanı";"Simon, Francesca";"828.3354 SİM 2012";9789750510106;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000219;"Anne Baba Dükkanı";"Simon, Francesca";"828.3354 SİM 2012";9789750510106;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000220;"Anne Baba Dükkanı";"Simon, Francesca";"828.3354 SİM 2012";9789750510106;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000221;"Anne Baba Dükkanı";"Simon, Francesca";"828.3354 SİM 2012";9789750510106;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000222;"Yetişkin çocuklar";"Cüceloğlu, Doğan";"155.5 CÜC 1995";9757397180;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000223;"The Devinim deneme";;"100.125 DEV 2014";1304-7159;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000224;"BiLİM TEKNİK";;"0.50 BİL 2001";;"Süreli Yayınlar Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000225;"Öğretmen";"Girgin, Atalay";"371.104 GİR 2009";9789944680301;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000226;"Yalnız Efe";"Ömer Seyfettin";"813.41 ÖME 2009";9789756938942;"Diğer";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000227;Gel;"Polat, Fatma";"813.42 POL 2015";;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000228;Spekülatör;"Öztürk, Mustafa";"300 ÖZT 2015";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000229;"Yarım yüzyıldan şiirler";"Behramoğlu, Ataol";"811.42 BEH 2015";9944610933;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000230;"Mavi atlas";;"059 MAV 2014";2148-5232;"Süreli Yayınlar Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;Dergiler/Seriler
111000000231;Dost;"Ayverdi, Semiha";"818.42 AYV 2010";9789757663195;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000232;Zarife;"Kavukçuoğlu, Deniz";"813.42 KAV 2008";9789750710032;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000233;Gel;"Polat, Fatma";"813.42 POL 2011";9786054470051;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000234;"Mevsimler ve dünyamız";"Hekimoğlu İsmail";"297.4795 HEK 2014";9786050813272;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000235;Güzel;"McKinley, Robin";"828.3354 MCK 2010";9789944822855;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000236;"Zorki Diplamat (Hatıra ve Müşahede)";"Kadri, Yakup.";"814 KAD 1955";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000237;"Sonsuz Gül";"Borges, Jorge Luis";"861.99 BOR 2012";9789754709582;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000238;"Mesnevi'de aşkın düşünme metaforları";"Yıldırım, Kevser";"153.42 YIL 2013";9786056402609;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000239;"La' deneme eseri";"Akyüz, Asuman";"203.999 AKY 2014";;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;Dergiler/Seriler
111000000240;Deneme;Montaigne;"844.3 MON 2005";9754581576;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000241;"Ev Doktoru";"Pollak, Kurt";"614 POL 1993";9751402174;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000242;"Çocuğunuzun hak ettiği Anne-Baba olmak";Turnbull.Rae;" TUR 2005";9758296361;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000243;Hüzün;"Kulin, Ayşe";"813.42 KUL 2011";9789752898219;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000244;Güller;"Halide Nusret";"800 HAL 1337";;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000245;"Zamanın Tanığı Taşlar";"Öztürk.Mahmut";"818.42 ÖZT 2010";9786054498239;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000246;"The landscape of King Arthur";"Ashe, Geoffrey";"914 ASH 1987";0863501680;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000247;"Sarı kanarya";"Adalı, Bilgin";"813.42 ADA 2014";9789750723414;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000248;"Üstad Ali Ulvi Kurucu hatıralar-1";"Düzdağ, M. Ertuğrul";"297.792 DÜZ 2012";9789944125130;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000249;Sevgi;"Tanışır, Ferzende";"813 TAN 2008";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000250;Sevgi;"Tanışır, Ferzende";"813 TAN 2008";;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000251;"The Kütüphaneci";"Işık, Recep";"999.00 IŞI [t.y.]";"000111222333 / 9750211980";"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;"Elektronik Belge"
111000000252;"Gökyüzünün rengi";"Yılmaz, Duygu";"813.42 YIL [2014?]";9786051470849;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000253;"Gökyüzünün rengi";"Yılmaz, Duygu";"813.42 YIL [2014?]";9786051470849;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000254;"Eşkıya ininde";"Gürpınar, Hüseyin Rahmi";"813.41 GÜR 2012";9786051415147;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000255;"Cenneti Gözetlemek /";"Ambjörnsen, Ingvar";"839.8 AMB 2007";9789752810563;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000256;"Ah Şu Uzaylılar!";"Canan TAN";"813.42 CAN 2014";9789752108462;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000257;"Korkunun anatomisi";"Santlofer, Jonathan";"828.3354 SAN 2011";9786053751076;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000259;Ada;"Huxley, Aldous";"823.914 HUX 1999";975539267X;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000260;Ada;"Huxley, Aldous";"823.914 HUX 1999";975539267X;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000261;"Türkiyede El ile Bağlama çalma Geleneği";"PARLAK Erol";"787.89365 PAR ";;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000262;"Yüksek ökçeler";"Ömer Seyfettin";"813.41 ÖME 2011";9786056150197;"Gezici Kütüphane";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000263;"Yüksek ökçeler";"Ömer Seyfettin";"813.41 ÖME 2016";9786056150197;"Gezici Kütüphane";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000264;"Yüksek ökçeler";"Ömer Seyfettin";"813.41 ÖME 2016";9786056150197;"Gezici Kütüphane";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000265;"Kağıt helva";"Şafak, Elif";"818.42 ŞAF 2012";9786050900651;"Gezici Kütüphane";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000267;"The Kütüphaneci";"Işık, Recep";"999.00 IŞI [t.y.]";"000111222333 / 9750211980";"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;"Elektronik Belge"
111000000268;"Tarihteki ünlü bilim adamları";"Aksoy, Nurşah";"925 AKS 2010";9786050062151;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000269;"Ahmet Midhat Efendi";"Miyasoğlu, Mustafa";"928.943 MİY 2012";9789751736192;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000272;"Einstein’ın evreni";"Kaku, Michio";"523.1 KAK 2015";9786054362837;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000273;"22 Ada sahili";"Ata, B. Atakan";"813.42 ATA 2016";975539267;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000274;"deneme eseri TEST";"Akyüz, Asuman";"123 AKY 2014";;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000276;"Merhaba meyhanesi";"Sezer, Suat";"813.42 SEZ 2011";9789944106238;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000277;"Basın penceresinden Harb-i Umumi ve Çanakkale Savaşı";"Hiçyılmaz, Ergun";"956.101543 HİÇ 2015";9789751964731;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000278;"Zümrüt yeşil";"Gier, Kerstin";"833.914 GİE 2014";9786053431077;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000279;"YGS coğrafya soru bankası";;"910.76 ÜNİ 2014";9786055398705;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000280;"Hayal gücü ile çizim";"Dodson, Bert";"751.4 DOD 2013";9786053431299;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000281;"Gelir başına gelir komşuna";"Sota, Mine";"817.42 SOT 2014";9789756107423;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000282;"İnanılmaz şok edici olaylar /";"Bel, Poyraz";"030 BEL 2011";9786055733018;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000283;"2.Halk kütüphaneciliği sempozyumu: değişen dünyada halk kütüphaneleri (9-12 Mays 2012: Bodrum)";;"016 2H 2012";9789751735966;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000284;"Afrika'da müslüman azınlıklar";"Dağ, Ahmet Emin";"960.1 DAĞ 2015";9786055260026;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000285;"Korkak uçak";"İlgün, Feride";"813.42 İLG 2014";9786059937054;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000286;Efendi;"Yalçın, Soner";"320.9561 YAL 2015";9789759915162;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000287;"Popular science Türkiye, 2017";;"503 POP 2000-";2147-0960;"Süreli Yayınlar Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;Dergiler/Seriler
111000000288;"72. koğuş";"Orhan Kemal";"813.42 ORH 1979";9789752893962;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000289;"Zümrüt yeşil";"Gier, Kerstin";"833.914 GİE 2013";9786053431077;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000290;"Öteki renkler";"Pamuk, Orhan";"813.42 PAM 2011";9754707650;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000291;"Bir Sürgün";"Karaosmanoğlu, Yakup Kadri";"813.42 KAR 2008";9789754705652;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000292;"Bir Sürgün";"Karaosmanoğlu, Yakup Kadri";"813.42 KAR 2008";9789754705652;"Diğer";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000293;"Sözleşme kültürü ve ilk müslüman toplumu";"Arslan, Mustafa";"297.813 ARS 2014";9789753523882;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000294;"Gülün Adı";"Eco, Umberto";"853 ECO 2008";;"Diğer";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000295;"Gülün Adı";"Eco, Umberto";"853 ECO 2008";;"Diğer";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000296;"Gülün Adı";"Eco, Umberto";"853 ECO 2008";;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000297;"Gülün Adı";"Eco, Umberto";"853 ECO 2008";;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000298;"Küçük yürek";"Çerezci, Su";"816.42 ÇER 2014";9789752311381;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000299;"Karaman’ın ünlü şahsiyetleri";;"920.056523 KAR 2015";9786056600951;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000300;"Küçük yürek";"Çerezci, Su";"816.42 ÇER 2014";9789752311381;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000301;"Karaman’ın ünlü şahsiyetleri";;"920.056523 KAR 2015";9786056600951;Salon;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000302;"Karaman’ın ünlü şahsiyetleri";;"920.056523 KAR 2015";9786056600951;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000303;"Bir sürgün";"Karaosmanoğlu, Yakup Kadri";"813.42 KAR 2007";9789754705652;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000304;"Bir Sürgün";"Karaosmanoğlu, Yakup Kadri";"813.42 KAR 2008";9789754705652;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000305;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000306;"Karaman’ın ünlü şahsiyetleri";;"920.056523 KAR 2015";9786056600951;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000307;"Düş";"Kapusızoğlu, Firdevs";"813.42 KAP 2016";9786054042951;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000308;"Karaman’ın ünlü şahsiyetleri";;"920.056523 KAR 2015";9786056600951;"Gezici Kütüphane";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000309;"Karaman’ın ünlü şahsiyetleri";;"920.056523 KAR 2015";9786056600951;"Kent Kitaplığı";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000310;Ezidiler;"Korkmaz, Esat";"305.699 KOR 2015";9786059989015;"Diğer";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000311;Ezidiler;"Suvari, Çakır Ceyhan";"299.159 SUV 2013";9786055580421;"Edebiyat Kuramı (Edebiyat Müze Kütüphaneleri İçin)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000312;"Afrika'da müslüman azınlıklar";"Dağ, Ahmet Emin";"960.1 DAĞ 2015";9786055260026;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000313;"Tarih boyunca islamî metodoloji sorunu";"Rahman, Fazlur";"297.5 RAH 2009";9789758190041;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000314;"Tarih boyunca islamî metodoloji sorunu";"Rahman, Fazlur";"297.5 RAH 2009";9789758190041;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000315;"Tarih boyunca islamî metodoloji sorunu";"Rahman, Fazlur";"297.5 RAH 2009";9789758190041;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000316;"Bitti bitti-bitmedi";"Türkali, Vedat";"813.42 TÜR 2014";9789755399539;"Diğer";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000317;"Çağdaş sorunlar ve kelam";"Evkuran, Mehmet";"297.4 EVK 2015";9786054495702;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000318;"Fotoğrafın yapısal ögeleri ve fotoğraf sanatında kompozisyon";"Kalfagil, Sabit";"770.11 KAL 2014";9789758069255;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000319;"Tarih boyunca islamî metodoloji sorunu";"Rahman, Fazlur";"297.5 RAH 2009";9789758190041;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000320;"Bitti bitti-bitmedi";"Türkali, Vedat";"813.42 TÜR 2014";9789755399539;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000321;"İlk düşen ak";"Ömer Seyfettin";"813.41 ÖME 2016";9789752677029;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000322;"Bitti bitti-bitmedi";"Türkali, Vedat";"813.42 TÜR 2014";9789755399539;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000323;"Karaman’ın ünlü şahsiyetleri";;"920.056523 KAR 2015";9786056600951;"Gör-İşit Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000324;"İstanbul'un fethi";"Tülbentçi, Feridun Fazıl";"813.42 TÜL 2008";9789751029805;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000325;"Mısır yazıları";"Fisk, Robert";"321.09400962 FİS 2015";9786056601392;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000326;Ayça;"Yılmaz, Esma";"811.42 YIL 2010";9786056055607;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000327;"Tarih felsefesi";"Hegel, G. W. F.";"901 HEG 2016";9789753970990;"Sanat Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000328;"Gülme başına gelir komşuna";"Sota, Mine";"817.42 SOT 2012";9789756107423;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000329;"Gülme başına gelir komşuna";"Sota, Mine";"817.42 SOT 2012";9789756107423;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000330;Sembol;"Ustaoğlu, Mustafa Onur";"811.42 UST 2014";9789754513226;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000331;"Robert Fisk İsrail yazıları";"Fisk, Robert";"320.9 FİS 2015";9786056601385;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000332;"Tarih felsefesi";"Hegel, G. W. F.";"901 HEG 2016";9789753970990;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000333;"Robert Fisk İsrail yazıları";"Fisk, Robert";"320.9 FİS 2015";9786056601385;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000334;"Robert Fisk İsrail yazıları";"Fisk, Robert";"320.9 FİS 2015";9786056601385;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000335;"Robert Fisk İsrail yazıları";"Fisk, Robert";"320.9 FİS 2015";9786056601385;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000336;"Robert Fisk İsrail yazıları";"Fisk, Robert";"320.9 FİS 2015";9786056601385;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000337;"Robert Fisk İsrail yazıları";"Fisk, Robert";"320.9 FİS 2015";9786056601385;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000338;"Robert Fisk İsrail yazıları";"Fisk, Robert";"320.9 FİS 2015";9786056601385;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000339;"Robert Fisk İsrail yazıları";"Fisk, Robert";"320.9 FİS 2015";9786056601385;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000340;"Gülme başına gelir komşuna";"Sota, Mine";"817.42 SOT 2012";9789756107423;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000341;"Robert Fisk İsrail yazıları";"Fisk, Robert";"320.9 FİS 2015";9786056601385;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000342;"Gülme başına gelir komşuna";"Sota, Mine";"817.42 SOT 2012";9789756107423;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000343;Ezidiler;"Korkmaz, Esat";"305.699 KOR 2015";9786059989015;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000344;"Dikkat hoca geliyor";"Bel, Poyraz";"817 BEL 2009";9786055733018;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000345;"YENİ HAYAT";"ORHAN PAMUK";"813.42 ORH 1994";9754704457;"Bakanlık Yayınları (Edebiyat Müze Kütüphaneleri İçin)";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000346;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;Depo;"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000347;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000348;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000349;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000350;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000351;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000352;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000353;"Robert Fisk İsrail yazıları";"Fisk, Robert";"320.9 FİS 2015";9786056601385;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000354;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000355;"Dünyanın tüm park ve bahçeleri";"Zuylen, Gabrielle Van";"712.5 ZUY 2015";9789750834509;"Diğer";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000356;"Her kalp kendi sevgisini yakar";"Meral, Gülsen";"811.42 MER 2014";9786056326691;"Atatürk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000357;"Acayip İşler";"Atasoy, Sevil";"813.42 ATA 2015";9786050930405;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000358;"Böcek çocuk";"Leonard, Maya Gabrielle";"823.914 LEO 2017";9786054729869;"Gençlik Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000359;"Kardan Adam";"Uysal, Ahmet";"398.2 UYS 2008";9786055747831;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000360;"Türkiye'nin manzarası";"Kısakürek, Necip Fazıl";"814.42 KIS 2009";9789758180196;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000361;"Anne ben Afrika'ya taşınıyorum";"Varsani, Esra Yazıcı";"813.42 VAR 2015";9786050928136;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000362;"Anne ben Afrika'ya taşınıyorum";"Varsani, Esra Yazıcı";"813.42 VAR 2015";9786050928136;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000363;"Anne ben Afrika'ya taşınıyorum";"Varsani, Esra Yazıcı";"813.42 VAR 2015";9786050928136;"Çocuk Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000364;"Anne ben Afrika'ya taşınıyorum";"Varsani, Esra Yazıcı";"813.42 VAR 2015";9786050928136;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000365;Yeniçeriler;"Koçu, Reşad Ekrem";"956.1015 KOÇ 2015";9786050928891;"Danışma Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
111000000366;"Ah benim karım! Ah benim kocam!";"Tan, Canan";"813.42 TAN 2015";9786050927351;"Yetişkin Bölümü";"DEMO EĞİTİM KÜTÜPHANESİ";;" Kitap"
